_id,name,productnum,category,imageName
,Asparagus,,0,asparagus_icon
,Broccoli,,0,broccoli_icon
,Carrots,,0,carrots_icon
,Cauliflower,,0,cauliflower_icon
,Beans,,0,vegetables_default_icon
,Green beans,,0,vegetables_default_icon
,soybeans,,0,vegetables_default_icon
,Kidney beans,,0,vegetables_default_icon
,lentils,,0,vegetables_default_icon
,Celery,,0,celery_icon
,Corn, ,0,corn_icon
,Cucumbers,,0,cucumber_icon
,Lettuce,,0,lettuce_icon
,Shitakke mushrooms,,0,mushroom_icon
,Portobello mushrooms,,0,mushroom_icon
,Oyster mushrooms,,0,mushroom_icon
,Mushrooms,,0,mushroom_icon
,Onions,,0,onion_icon
,Peppers,,0,pepper_icon
,Potatoes,,0,potato_icon
,Spinach,,0,spinich_icon
,Squash,,0,squash_icon
,Zucchini,,0,zucchini_icon
,Tomatoes,,0,tomato_icon
,Frozen vegetables,,0,vegetables_default_icon
,Apples,,1,apple_icon
,Watermelon,,1,watermelon_icon
,Lychee,,1,berries_icon
,Pineapple,,1,pineapple_icon
,Avocados,,1,avocado_icon
,Bananas,,1,banana_icon
,Berries,,1,berries_icon
,Cherries,,1,cherry_icon
,Grapefruit,,1,grapefruit_icon
,Grapes,,1,grapes_icon
,Kiwis,,1,kiwi_icon
,Lime,,1,lime_icon
,Lemons,,1,lemon_icon
,Melon,,1,melon_icon
,Nectarines,,1,nectarine_icon
,Oranges,,1,orange_icon
,Peaches,,1,peach_icon
,Pears,,1,pear_icon
,Raspberry,,1,raspberry_icon
,Plums,,1,plum_icon
,Strawberry,,1,strawberry_icon
,Blueberry,,1,blueberry_icon
,Fozen Breakfasts,,2,frozen_default_icon
,Frozen Burritos,,2,frozen_default_icon
,Fish sticks,,2,seafood_default_icon
,Fries,,2,fries_icon
,Tater tots,,2,potato_icon
,Frozen berries,,2,berries_icon
,Sorbet,,2,sorbert_icon
,Ice cream,,2,sorbert_icon
,Juice concentrate,,2,beverage_default_icon
,Pizza,,2,pizza_icon
,Pizza Rolls,,2,pizza_icon
,Popsicles,,2,popsicle_icon
,TV dinners,,2,tvdinner_icon
,Frozen Vegetables,,2,vegetables_default_icon
,Ice cream sandwiches,,2,ice_cream_sandwich_icon
,Chicken nuggets,,2,chicken_icon
,Chicken fingers,,2,chicken_icon
,Frozen Waffles,,2,frozen_default_icon
,Frozen pancakes,,2,frozen_default_icon
,Beef patties,,2,beef_icon
,BBQ sauce,,3,sauce_default_icon
,Gravy,,3,sauce_default_icon
,Honey,,3,honey_icon
,Hot sauce,,3,hot_sauce_icon
,Jelly,,3,jam_icon
,Preserves,,3,jam_icon
,Jam,,3,jam_icon
,Ketchup,,3,ketchup_icon
,Mustard,,3,mustard_icon
,Mayonnaise,,3,mayonnaise_icon
,Alfrado sauce,,3,global_default_icon
,Tomato sauce,,3,tomato_icon
,Pasta sauce,,3,tomato_icon
,Relish,,3,relish_icon
,Salad dressing,,3,sauce_default_icon
,Salsa,,3,hot_sauce_icon
,Soy sauce,,3,soy_sauce_icon
,Steak sauce,,3,sauce_default_icon
,Syrup,,3,syrup_icon
,Worcestershire sauce,,3,sauce_default_icon
,Bouillon cubes,,4,global_default_icon
,Cereal,,4,cereal_icon
,Decaffinated coffee,,4,coffee_icon
,Coffee,,4,coffee_icon
,Instant potatoes,,4,potato_icon
,Lime juice,,4,lime_icon
,Lemon,,4,lemon_icon
,Croutons,,4,global_default_icon
,Mac & cheese,,4,global_default_icon
,Coconut,,4,global_default_icon
,Coconut oil,,4,global_default_icon
,Olive oil,,4,sauce_default_icon
,Packaged meals,,4,tvdinner_icon
,Instant noodles,,4,global_default_icon
,Pancake / Waffle mix,,4,global_default_icon
,Pasta,,4,global_default_icon
,Peanut butter,,4,nut_icon
,Decaffinated tea,,4,tea_icon
,Orange pekoe tea,,4,tea_icon
,Green Tea,,4,tea_icon
,Pickles,,4,cucumber_icon
,Rice,,4,rice_icon
,Tea,,4,tea_icon
,Vegetable oil,,4,sauce_default_icon
,Vinegar,,4,sauce_default_icon
,Applesauce,,5,apple_icon
,Baked beans,,5,canned_food_icon
,Broth,,5,global_default_icon
